Match_Type,God_Name,Kills,Deaths,Assists,Item1,Item2,Item3,Item4,Item5,Item6
Arena,Anhur,2,5,15,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sylvanus,2,6,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Cabrakan,0,6,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Awilix,7,6,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Awilix,2,5,10,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Tyr,4,8,15,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Loki,5,9,12,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Medusa,3,7,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Erlang Shen,4,6,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Sun Wukong,4,8,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,1,3,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Loki,0,9,3,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Loki,2,9,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Loki,2,8,2,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Loki,3,4,7,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Loki,7,11,6,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Loki,2,9,1,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Loki,10,5,15,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,1,6,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ra,3,6,7,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Kukulkan,3,12,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Loki,2,6,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Loki,1,7,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Loki,1,7,2,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Loki,8,9,9,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Loki,5,3,6,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Loki,1,7,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Loki,5,10,5,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,4,3,0,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,7,3,15,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Arachne,3,5,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Zeus,1,12,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hades,5,12,10,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Awilix,1,4,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,1,2,0,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Ah Muzen Cab,2,2,3,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Camazotz,4,6,6,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Kukulkan,2,8,15,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,2,7,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Tyr,4,3,3,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Arachne,3,10,0,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Arachne,4,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Arachne,7,9,14,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Arachne,10,7,3,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ares,1,6,19,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Achilles,3,4,6,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Hades,7,12,14,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Hades,6,6,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Neith,0,5,8,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Neith,5,6,2,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Erlang Shen,1,9,2,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ymir,3,14,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Nut,7,4,7,N/A,N/A,N/A,N/A,N/A,N/A
Slash,Hades,6,12,7,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Pele,3,12,4,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Pele,6,6,5,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Erlang Shen,3,8,13,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Thor,4,12,10,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Horus,1,7,1,N/A,N/A,N/A,N/A,N/A,N/A
Joust,Neith,4,7,9,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Ymir,13,4,24,N/A,N/A,N/A,N/A,N/A,N/A
Arena,Izanami,10,12,9,N/A,N/A,N/A,N/A,N/A,N/A
Conquest,Medusa,9,14,7,N/A,N/A,N/A,N/A,N/A,N/A
